docname,topic,proportion
comments.json:750,008,0.16139
comments.json:750,001,0.117339
comments.json:785,007,1.0
comments.json:820,007,1.0
comments.json:855,004,1.0
comments.json:890,007,1.0
comments.json:925,007,1.0
comments.json:960,007,1.0
comments.json:995,008,1.0
comments.json:1030,002,1.0
comments.json:1065,007,1.0
comments.json:1100,007,1.0
comments.json:1135,001,1.0
comments.json:1170,004,1.0
comments.json:1205,000,1.0
comments.json:1240,000,1.0
comments.json:29,008,1.0
comments.json:64,006,1.0
comments.json:99,002,1.0
comments.json:134,000,1.0
comments.json:169,000,0.651494
comments.json:169,007,0.097218
comments.json:169,008,0.091655
comments.json:169,002,0.068961
comments.json:169,009,0.043524
comments.json:169,001,0.032681
comments.json:169,003,0.014467
comments.json:204,004,1.0
comments.json:239,007,1.0
comments.json:274,005,1.0
comments.json:309,001,1.0
comments.json:344,007,1.0
comments.json:379,000,1.0
comments.json:414,000,1.0
comments.json:449,008,1.0
comments.json:484,004,1.0
comments.json:519,000,0.623273
comments.json:519,007,0.297209
comments.json:519,003,0.079517
comments.json:554,008,1.0
comments.json:569,000,0.771983
comments.json:569,007,0.165425
comments.json:569,008,0.062592
comments.json:604,000,1.0
comments.json:639,007,1.0
comments.json:674,008,1.0
comments.json:709,000,0.616732
comments.json:709,007,0.283474
comments.json:709,008,0.099794
comments.json:744,008,1.0
comments.json:779,007,1.0
comments.json:814,008,1.0
comments.json:849,000,1.0
comments.json:884,008,1.0
comments.json:919,003,1.0
comments.json:954,008,1.0
comments.json:989,000,0.696259
comments.json:989,007,0.303741
comments.json:1024,003,1.0
comments.json:1059,007,1.0
comments.json:1094,000,1.0
comments.json:1129,007,1.0
comments.json:1164,000,1.0
comments.json:1199,000,0.733098
comments.json:1199,007,0.248205
comments.json:1199,001,0.018697
comments.json:1234,000,1.0
comments.json:28,001,1.0
comments.json:63,000,1.0
comments.json:98,000,1.0
comments.json:133,007,1.0
comments.json:168,007,1.0
comments.json:203,004,1.0
comments.json:238,000,1.0
comments.json:273,007,1.0
comments.json:308,000,1.0
comments.json:343,007,1.0
comments.json:378,007,1.0
comments.json:413,007,1.0
comments.json:448,007,1.0
comments.json:483,007,1.0
comments.json:518,007,1.0
comments.json:553,000,1.0
comments.json:568,004,1.0
comments.json:603,000,1.0
comments.json:638,008,1.0
comments.json:673,008,1.0
comments.json:708,007,1.0
comments.json:743,007,1.0
comments.json:778,008,1.0
comments.json:813,007,1.0
comments.json:848,007,1.0
comments.json:883,000,1.0
comments.json:918,007,1.0
comments.json:953,007,1.0
comments.json:988,008,1.0
comments.json:1023,007,1.0
comments.json:1058,000,1.0
comments.json:1093,007,1.0
comments.json:1128,008,1.0
comments.json:1163,001,1.0
comments.json:1198,000,0.870318
comments.json:1198,007,0.129681
comments.json:1233,001,1.0
comments.json:8,000,0.802116
comments.json:8,001,0.091057
comments.json:8,008,0.060608
comments.json:8,007,0.046218
comments.json:43,005,1.0
comments.json:78,000,0.744138
comments.json:78,007,0.255862
comments.json:113,007,1.0
comments.json:148,000,1.0
comments.json:183,001,1.0
comments.json:218,000,1.0
comments.json:253,001,1.0
comments.json:288,006,1.0
comments.json:323,000,1.0
comments.json:358,000,1.0
comments.json:393,007,1.0
comments.json:428,000,1.0
comments.json:463,000,1.0
comments.json:498,000,1.0
comments.json:533,008,1.0
comments.json:583,007,1.0
comments.json:618,008,1.0
comments.json:653,006,1.0
comments.json:688,007,1.0
comments.json:723,001,1.0
comments.json:758,008,1.0
comments.json:793,007,1.0
comments.json:828,007,1.0
comments.json:863,000,1.0
comments.json:898,000,1.0
comments.json:933,008,1.0
comments.json:968,004,1.0
comments.json:1003,008,1.0
comments.json:1038,000,1.0
comments.json:1073,000,1.0
comments.json:1108,007,1.0
comments.json:1143,000,1.0
comments.json:1178,008,1.0
comments.json:1213,000,0.616275
comments.json:1213,007,0.383724
comments.json:4,003,1.0
comments.json:39,002,1.0
comments.json:74,005,1.0
comments.json:109,000,0.647574
comments.json:109,007,0.120935
comments.json:109,008,0.080695
comments.json:109,002,0.057631
comments.json:109,001,0.050692
comments.json:109,009,0.042474
comments.json:144,007,1.0
comments.json:179,007,1.0
comments.json:214,005,1.0
comments.json:249,000,1.0
comments.json:284,007,1.0
comments.json:319,007,1.0
comments.json:354,008,1.0
comments.json:389,004,1.0
comments.json:424,008,1.0
comments.json:459,000,1.0
comments.json:494,008,1.0
comments.json:529,000,1.0
comments.json:579,000,1.0
comments.json:614,002,1.0
comments.json:649,007,1.0
comments.json:684,000,1.0
comments.json:719,007,1.0
comments.json:754,007,1.0
comments.json:789,000,1.0
comments.json:824,001,1.0
comments.json:859,000,1.0
comments.json:894,001,1.0
